timestamp,target_x,target_y,target_z,confidence,depth_m,lift_hip,lift_thigh,lift_calf,extend_hip,extend_thigh,extend_calf,fk_success,fk_contact_step,contact_method,duration_s,human_success,notes
2026-04-21T19:25:56,0.6018,-0.1783,0.1134,0.9584,0.2748,0.0400,-0.4000,-0.3000,0.0400,-1.2000,0.2000,False,-1,none,31.5654,n,too short
2026-04-21T19:29:32,0.6498,-0.2505,0.1096,0.9499,0.3228,0.0400,-0.8000,-0.3000,0.0400,-1.2000,0.5000,False,-1,none,33.3568,n,n
2026-04-21T19:33:15,0.7573,-0.3659,0.1112,0.9398,0.4303,0.0400,-1.0000,0.1000,0.0400,-1.2000,0.8000,False,-1,none,33.5404,n,n
2026-04-21T19:35:46,0.6320,-0.2639,0.1656,0.9550,0.3050,0.0400,-1.2000,0.1000,0.0400,-1.5000,1.2000,False,-1,none,31.3626,n,n
2026-04-21T19:37:40,0.6165,0.0975,0.1675,0.9502,0.2895,0.0400,-2.0000,0.1000,0.0400,-2.0000,1.5000,False,-1,none,32.3538,n,almost right height slight far away
2026-04-21T19:39:37,0.6729,0.0074,0.1377,0.9480,0.3459,0.0400,-2.0000,0.1000,0.0400,-2.1000,1.6000,False,-1,none,34.1898,n,n
2026-04-21T19:41:20,0.6818,-0.0729,0.1168,0.9526,0.3548,0.0400,-2.0000,0.1000,0.0400,-2.2000,1.8000,False,-1,none,33.0191,n,n
2026-04-21T19:43:14,0.6016,-0.2241,0.1234,0.9598,0.2746,0.0400,-2.2000,0.1000,0.0400,-2.2000,2.0000,False,-1,none,32.0784,n,n
2026-04-21T19:46:10,0.6523,-0.0157,0.2023,0.9510,0.3253,0.0400,-2.2000,0.1000,0.0400,-2.2000,2.2000,False,-1,none,32.2583,n,n
2026-04-21T19:47:23,0.6375,-0.1390,0.1150,0.9536,0.3105,0.0400,-2.2000,0.1000,0.0400,-2.2000,0.5000,False,-1,none,33.3951,n,n
2026-04-21T19:48:34,0.7230,-0.2268,0.1157,0.9475,0.3960,0.0400,-2.2000,0.1000,0.0400,-2.2000,0.5200,False,-1,none,32.5864,n,n
2026-04-21T19:50:12,0.7968,-0.3258,0.1078,0.9417,0.4698,0.0400,-2.2000,0.1000,0.0400,-2.2000,1.0000,False,-1,none,32.7730,n,n
2026-04-21T19:52:17,0.5554,-0.1283,0.1570,0.9556,0.2284,0.0400,-2.0000,0.1000,0.0400,-2.0000,0.5200,False,-1,none,33.2797,y,Press down but bottom left of button
